PLEASE DO NOT DELETE THIS COLUMN OR ELSE THE DATA WILL NOT IMPORT CORRECTLY,Note,UPC,SKU,FrameName,Manufacturer,Brand,BrandID,Collection,ProductGroupType,FramecolorColorGroup,FrameColor,FrameColorCode,LensColor,LensColorCode,EyeSize,A,B,ED,EDAngle,TempleLength,BridgeSize,DBL,STS,Circumference,GenderType,AgeType,MaterialType,MaterialDescription,PreciousMetalType,PreciousMetalDescription,CountryofOrigin,TempleType,TempleTypeDescription,BridgeType,BridgeTypeDescription,LensType,LensTypeDescription,TrimType,TrimDescription,ClipSunglassType,ClipSunglassDescription,SideshieldsType,SideshieldsDescription,EdgeType,CaseType,CaseTypeDescription,HingeType,RimType,FrameShape,ShapeDescription,MonthIntroduced,YearIntroduced,Features,FramesPDType,LensVisionType,LensVisionDescription,RXType,RXDescription,WarrantyType,WarrantyDescription,Radii
aec026f4-53fb-496b-b52f-734216f1e72f,,664689695652,,SE1092,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Blue,MATTE BLUE,091,,,48,48.41,29.02,50.48,,130,17,17,0,,Male,Youth/Teen,Metal,Nickel Silver & Aluminum,,,China,Skull,Metal temples,Adjustable nose pads,,,,Visible logo.,Epoxy filled Skechers temple logo,,,,,,Hard case included.,Brand case,Spring Hinge,Full Rim,Modified Oval,,May,2015,180 degree full flex hinges.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,N
4b3c180e-9152-4ad7-9963-77c4994fcbc5,,664689695645,,SE1092,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Brown,MATTE DARK BROWN,049,,,48,48.41,29.02,50.48,,130,17,17,0,,Male,Youth/Teen,Metal,Nickel Silver & Aluminum,,,China,Skull,Metal temples,Adjustable nose pads,,,,Visible logo.,Epoxy filled Skechers temple logo,,,,,,Hard case included.,Brand case,Spring Hinge,Full Rim,Modified Oval,,May,2015,180 degree full flex hinges.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,N
f4fd8c27-0bc4-4c12-a118-8dae058e002c,,664689695621,,SE1092,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Black,MATTE BLACK,002,,,48,48.41,29.02,50.48,,130,17,17,0,,Male,Youth/Teen,Metal,Nickel Silver & Aluminum,,,China,Skull,Metal temples,Adjustable nose pads,,,,Visible logo.,Epoxy filled Skechers temple logo,,,,,,Hard case included.,Brand case,Spring Hinge,Full Rim,Modified Oval,,May,2015,180 degree full flex hinges.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,N
e6bb8c53-75e2-45f5-a13b-0c944b5b3a99,,664689695690,,SE1093,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Brown,MATTE DARK BROWN,049,,,49,49.10,27.88,51.36,,130,16,16,0,,Male,Youth/Teen,Metal,Nickel Silver & Aluminum,,,China,Skull,Metal temples,Adjustable nose pads,,,,Visible logo.,Epoxy filled Skechers temple logo,,,,,,Hard case included.,Brand case,Spring Hinge,Full Rim,Rectangle,,May,2015,180 degree full flex hinges.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,N
bb3102e4-0031-4275-ad8c-90fca68b0188,,664689695676,,SE1093,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Black,MATTE BLACK,002,,,49,49.10,27.88,51.36,,130,16,16,0,,Male,Youth/Teen,Metal,Nickel Silver & Aluminum,,,China,Skull,Metal temples,Adjustable nose pads,,,,Visible logo.,Epoxy filled Skechers temple logo,,,,,,Hard case included.,Brand case,Spring Hinge,Full Rim,Rectangle,,May,2015,180 degree full flex hinges.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,N
91d82dfe-afce-4d86-bcc4-9ac23ef57bb8,,664689695706,,SE1093,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Blue,MATTE BLUE,091,,,49,49.10,27.88,51.36,,130,16,16,0,,Male,Youth/Teen,Metal,Nickel Silver & Aluminum,,,China,Skull,Metal temples,Adjustable nose pads,,,,Visible logo.,Epoxy filled Skechers temple logo,,,,,,Hard case included.,Brand case,Spring Hinge,Full Rim,Rectangle,,May,2015,180 degree full flex hinges.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,N
b13c48ad-b714-4cdb-8b8f-afe8a69c96e6,,664689695720,,SE1094,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Black,MATTE BLACK,002,,,49,49.42,28.56,51.34,,135,17,17,0,,Male,Youth/Teen,Metal,Stainless Steel & Nickel Silver,,,China,Skull,Combination temples,Adjustable nose pads,,,,Visible logo.,Printed Skechers temple logo,,,,,,Hard case included.,Brand case,Spring Hinge,Full Rim,Rectangle,,May,2015,Rubber temple tips.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,N
8526193f-c012-4a42-ae12-e51bfffcaaeb,,664689695751,,SE1094,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Blue,MATTE BLUE,091,,,49,49.42,28.56,51.34,,135,17,17,0,,Male,Youth/Teen,Metal,Stainless Steel & Nickel Silver,,,China,Skull,Combination temples,Adjustable nose pads,,,,Visible logo.,Printed Skechers temple logo,,,,,,Hard case included.,Brand case,Spring Hinge,Full Rim,Rectangle,,May,2015,Rubber temple tips.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,N
bbdb7806-f0e5-46fe-994c-f7ec0d1e5289,,664689695744,,SE1094,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Brown,MATTE DARK BROWN,049,,,49,49.42,28.56,51.34,,135,17,17,0,,Male,Youth/Teen,Metal,Stainless Steel & Nickel Silver,,,China,Skull,Combination temples,Adjustable nose pads,,,,Visible logo.,Printed Skechers temple logo,,,,,,Hard case included.,Brand case,Spring Hinge,Full Rim,Rectangle,,May,2015,Rubber temple tips.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,N
903700eb-e671-48f5-a70d-4c32a0419545,,664689695768,,SE1095,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Black,SHINY BLACK,001,,,48,48.25,29.89,50.88,156.6,135,16,16,125,135.5,Male,Youth/Teen,Plastic,Handmade Acetate & Stainless Steel,,,China,Skull,Combination temples,Saddle,,,,Visible logo.,Printed Skechers temple logo,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Rectangle,,May,2015,Rubber temple tips.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
662c1ead-178d-416e-92eb-73b7b5629d01,,664689695799,,SE1095,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Blue,SHINY BLUE,090,,,48,48.25,29.89,50.88,156.6,135,16,16,125,135.5,Male,Youth/Teen,Plastic,Handmade Acetate & Stainless Steel,,,China,Skull,Combination temples,Saddle,,,,Visible logo.,Printed Skechers temple logo,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Rectangle,,May,2015,Rubber temple tips.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
4cee4a8b-a86e-423a-bd09-b6992af8b655,,664689695782,,SE1095,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Brown,SHINY DARK BROWN,048,,,48,48.25,29.89,50.88,156.6,135,16,16,125,135.5,Male,Youth/Teen,Plastic,Handmade Acetate & Stainless Steel,,,China,Skull,Combination temples,Saddle,,,,Visible logo.,Printed Skechers temple logo,,,,,beveled,Hard case included.,Brand case,Spring Hinge,Full Rim,Rectangle,,May,2015,Rubber temple tips.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,Y
695bd7a8-df2a-4858-9fac-1c5ed2eb8759,,664689696307,,SE1569,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Purple,MATTE FUSCHIA,076,,,48,47.93,28.70,49.20,,130,16,16,0,,Female,Youth/Teen,Metal,Stainless Steel & Handmade Acetate,,,China,Skull,Plastic temples,Adjustable nose pads,,,,Visible logo.,Printes S temple logo,,,,,,Hard case included.,Brand case,Spring Hinge,Full Rim,Geometric,,May,2015,Denim pattern temples w/studs & stone accents.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,N
e6d78adb-d2df-4341-8b76-46ed8eb3ad0d,,664689696291,,SE1569,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Brown,DARK BROWN/OTHER,050,,,48,47.93,28.70,49.20,,130,16,16,0,,Female,Youth/Teen,Metal,Stainless Steel & Handmade Acetate,,,China,Skull,Plastic temples,Adjustable nose pads,,,,Visible logo.,Printes S temple logo,,,,,,Hard case included.,Brand case,Spring Hinge,Full Rim,Geometric,,May,2015,Denim pattern temples w/studs & stone accents.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,N
f3bd811e-4ca8-4325-85fc-832cb846647e,,664689696314,,SE1569,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Purple,MATTE VIOLET,082,,,48,47.93,28.70,49.20,,130,16,16,0,,Female,Youth/Teen,Metal,Stainless Steel & Handmade Acetate,,,China,Skull,Plastic temples,Adjustable nose pads,,,,Visible logo.,Printes S temple logo,,,,,,Hard case included.,Brand case,Spring Hinge,Full Rim,Geometric,,May,2015,Denim pattern temples w/studs & stone accents.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,N
5242bcde-23de-4258-808f-4725084b3c56,,664689696369,,SE1570,Marcolin¨,Skechers,7480,Skechers Collection,Children's,Tortoise,DARK HAVANA,052,,,49,49.02,29.27,50.56,,130,16,16,0,,Female,Youth/Teen,Plastic,Handmade Acetate,,,China,Skull,Plastic temples,Saddle,,,,Visible logo.,Printes S temple logo,,,,,,Hard case included.,Brand case,Spring Hinge,Full Rim,Rectangle,,May,2015,Denim pattern temples w/studs & stone accents.,,,,Rx adaptable.,,2-year warranty.,2-year limited & full exchange policy.,N
